INFRA - Data center - sécurisation électrique et incendie;charpenm;charpenm;juanedam, tranv;;Récurrent;;
INFRA - Gestion des ressources de calcul du LIA;merline;merline;;;Récurrent;Gestion du cluster de calcul et des plateformes logicielles du LIA;
INFRA - Gestion centralisée des postes de travail linux;tranv;tranv;ringesq, juanedam;;Récurrent;Gestion et suprevision de l’outil de déploiment de configuration, de logiciels des postes de travail linux;
INFRA - Achat de serveurs et configuration;juanedam;juanedam;tranv, charpenm;;Récurrent;Gestion de l’achat de serveurs et des differentes préconisations;
INFRA - Annuaire LDAP;charpenm;charpenm;eric,juanedam, tranv;;Récurrent;Gestion de l'annuaire et du cycle de vie des identités numériques.;
INFRA - Antispam;eric;eric;charpenm;;Récurrent;Gestion et administration de l’anti SPAM Renater;
INFRA - Architecture réseau;juanedam;juanedam;beaudlot, charpenm;;Récurrent;Exploitation de l’architecture réseau et ;
INFRA - Filtrage réseau ;juanedam;juanedam;beaudlot, charpenm;;Récurrent;Exploitation et administration de la politique de filtrage;
INFRA - Certificats SSL;charpenm;charpenm;juanedam, tranv;;Récurrent;Gestion des certificats TCS et maisons;
INFRA - DHCP + TFTP + PXE;juanedam;juanedam;tranv;;Récurrent;Exploitaton des serveurs DHCP;
INFRA - Domaines DNS;charpenm;charpenm;juanedam, tranv, eric;;Récurrent;Gestion des dommaines DNS;
INFRA - Eduroam;eric;eric;juanedam;;Récurrent;Gestion de l'instance de l'Université dans le projet Eduroam (accès WiFi authentifié et sécurisé).;
INFRA - FTP, dépôts Debian + Ubuntu;charpenm;juanedam;ringesq, charpenm;;Récurrent;Gestion du service FTP et des miroirs Debian et Ubuntu.;
INFRA - Fédération d'identité;eric;eric;;;Récurrent;Gestion de l'instance de l'Université dans la Fédération d'identité éducation Recherche.;
INFRA - Gestion centralisée des serveurs Linux;juanedam;juanedam;tranv;;Récurrent;Gestion de l’outils de gestion centralisée de la configurations des serveurs linux;
INFRA - Impression;tranv;tranv;juanedam;;Récurrent;Gestion du service d’impression centralisé;
INFRA - easymin;charpenm;juanedam;tranv, eric, beaudlot, ringesq;;Récurrent;Maintenance et mise à jour de l’outil web d’administration des services INFRA;
INFRA - NAS;juanedam;tranv;juanedam;;Récurrent;Gestion et maintenance des serveurs de stockage centralisé;
INFRA - PARTAGE;eric;eric;charpenm;;Récurrent;Messagerie collaborative Partage basée sur Zimbra et proposée par Renater. ;
INFRA - PF BdD test et prod;charpenm;charpenm;juanedam, tranv;;Récurrent;Gestion des serveurs de bases de données.;
INFRA - PF Tomcat + CAS;juanedam;juanedam;tranv;;Récurrent;Gestion des environnements tomcat et du CAS (service d'authentification centralisée).;
INFRA - PF virtualisation;juanedam;juanedam;tranv, beaudlot, eric, ringesq;;Récurrent;Gestion de la plate-forme de virtualisation.;
INFRA - PF web + PF Moodle (test et prod);juanedam;juanedam;tranv;;Récurrent;Gestion des plate-formes web des sites de l'UAPV, des sites perso et de la plate-forme web pour Moodle.;
INFRA - Proxy web;charpenm;charpenm;juanedam;;Récurrent;Administration du proxy web;
INFRA - Réseau de distribution;beaudlot;juanedam;beaudlot;;Récurrent;Exploitation de l’architecture réseau de distribution;
INFRA - Salle pédago CERI – VM win;tranv;tranv;juanedam;;Récurrent;Gestion  et maintenance de l’image ubuntu présente dans les salles pédago et déploiement de la VM windows ;
INFRA - Salles serveurs Agro;charpenm;charpenm;juanedam, tranv;;Récurrent;Gestion du datacenter d’Agroparc;
INFRA - Salles serveurs CV;charpenm;charpenm;juanedam, tranv;;Récurrent;Gestion du datacenter du centre ville;
INFRA - Sauvegarde serveurs;juanedam;juanedam;tranv, ringesq;;Récurrent;Gestion du service de sauvegardes des serveurs de la DOSI.;
INFRA - Serveur de logs;eric;juanedam;tranv, beaudlot;;Récurrent;Gestion et maintenance du serveur de log;
